id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on
3700,Painter (General),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3701,Tool & Die Maker (Dies & Moulds),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3702,Mechanic Repair & Maintenance of Two Wheelers,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3703,Building Constructor,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3704,Steward,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3705,Dental Laboratory Equipment Technician,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3706,Moulder,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3707,"Forger & Heat Treater
","","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3708,Manufacture of Footwear,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3709,Pump Operator and Mechanic,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3710,Driver Mechanic (Light Motor Vehicle),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3711,Digital Photographer,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3712,Mechanic Computer Hardware,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3713,Machinist (Grinder),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3714,Radiology Technician/Radio Diagnosis & Radiotherapy,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3715,Photographer,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3716,"Upholsterer
","","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3717,Mechanic Machine Tool Maintenance,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3718,Pattern Maker,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3719,Data Entry Operator,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3720,Mechanic Maintenance (Chemical Plant),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3721,Attendant Operator (Chemical Plant),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3722,Mechanic Repair & Maintenance of Light Vehicles,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3723,Laboratory Assistant (Chemical Plant),"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3724,Network Technician,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3725,"Mechanic Marine Diesel
","","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3726,Mechanic Consumer Electronics,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3727,"Tool & Die Maker (Press Tools, Jig & Fixture)","","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
3728,Physiotherapy Technician,"","","",192,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
